BP-NN
Epoch,Run 8,Run 16,Run 22,Run 36,Run 39,Run 40,Run 41,Run 44,Run 45,Run 46,Run 48,Run 49,Run 50,Mean
29,0.0813,0.101,0.073,0.0865,0.094,0.0952,0.0761,0.0944,0.0987,0.1024,0.0935,0.096,0.0905,0.09096923076923077
30,0.0803,0.0998,0.0713,0.0858,0.0923,0.0928,0.0755,0.093,0.0973,0.0988,0.0927,0.0946,0.0897,0.08953076923076922
31,0.0794,0.0985,0.0704,0.0851,0.0917,0.0912,0.0747,0.092,0.0956,0.0966,0.0909,0.0929,0.0889,0.08830000000000002
32,0.0794,0.0975,0.0692,0.0841,0.0907,0.0896,0.0742,0.0911,0.0942,0.0943,0.0897,0.0913,0.0876,0.08714615384615385
33,0.0793,0.0957,0.0682,0.0836,0.0895,0.0886,0.074,0.0903,0.093,0.0929,0.089,0.09,0.0872,0.08625384615384615
34,0.0789,0.0939,0.0675,0.0829,0.0889,0.0872,0.0735,0.0894,0.0916,0.0922,0.0881,0.0889,0.0864,0.08533846153846156
35,0.0783,0.0925,0.067,0.0825,0.0883,0.0864,0.073,0.089,0.0911,0.091,0.0872,0.088,0.0859,0.08463076923076923
36,0.0783,0.0909,0.0663,0.0821,0.0873,0.0856,0.0726,0.0884,0.0897,0.0898,0.0861,0.087,0.0852,0.0837923076923077
37,0.0782,0.09,0.0658,0.0817,0.0869,0.085,0.0724,0.0879,0.0892,0.0889,0.0851,0.0862,0.0846,0.08322307692307691
38,0.0776,0.0894,0.0653,0.0813,0.0861,0.0842,0.072,0.0874,0.0883,0.0882,0.0844,0.0855,0.0841,0.0826
39,0.0775,0.0886,0.0648,0.081,0.0854,0.0838,0.0718,0.0871,0.0877,0.087,0.0832,0.0848,0.0837,0.08203076923076921
40,0.0772,0.0874,0.0642,0.0806,0.0848,0.0832,0.0715,0.0862,0.0868,0.0863,0.0822,0.0839,0.0833,0.08135384615384617
41,0.0772,0.0869,0.0639,0.0803,0.0842,0.0827,0.0712,0.0858,0.0865,0.0853,0.0816,0.0835,0.0829,0.08092307692307693
42,0.077,0.0865,0.0635,0.0799,0.0837,0.0822,0.071,0.0853,0.086,0.0847,0.0807,0.083,0.0827,0.08047692307692306
43,0.0768,0.0857,0.0631,0.0797,0.0829,0.0818,0.0707,0.0848,0.0855,0.084,0.08,0.0825,0.0822,0.07997692307692307
44,0.0765,0.0854,0.0628,0.0794,0.0823,0.0815,0.0705,0.0844,0.0852,0.0832,0.0794,0.0817,0.082,0.07956153846153846
45,0.0764,0.0851,0.0625,0.0792,0.0818,0.0811,0.0703,0.0841,0.0848,0.0827,0.079,0.0812,0.0817,0.07922307692307692
46,0.076,0.0846,0.0622,0.079,0.0814,0.0807,0.07,0.0837,0.0846,0.0821,0.0784,0.0807,0.0813,0.07882307692307691
47,0.0757,0.0842,0.0619,0.0787,0.081,0.0804,0.0698,0.0834,0.0842,0.0815,0.0782,0.0802,0.081,0.07847692307692308
48,0.0754,0.0837,0.0616,0.0786,0.0806,0.0802,0.0697,0.0831,0.0838,0.081,0.0779,0.0798,0.0809,0.07817692307692307
49,0.0752,0.0834,0.0615,0.0785,0.0803,0.08,0.0695,0.0829,0.0835,0.0803,0.0776,0.0793,0.0806,0.07789230769230769
50,0.075,0.0831,0.0613,0.0783,0.08,0.0797,0.0694,0.0827,0.0832,0.0799,0.077,0.079,0.0802,0.07759999999999997
